aqi,co,no2,o3,pm10,pm25,so2,city_name,hour
122,453.5,34.0,3.2,61.0,43.5,28.0,Chennai,15
98,151.7,32.1,12.2,47.3,34.38,22.3,Chennai,14
90,448.5,34.0,3.5,50.5,30.5,27.0,Chennai,13
90,763.3,23.4,17.6,41.0,30.75,21.8,Chennai,12
104,363.0,39.0,2.8,58.0,37.0,33.0,Chennai,11
100,363.0,39.0,2.8,58.0,35.0,34.0,Chennai,10
95,202.2,28.0,15.3,48.8,32.75,24.9,Chennai,09
103,220.9,28.4,14.8,56.4,36.67,22.1,Chennai,08
93,363.0,38.0,2.8,59.7,32.0,24.0,Chennai,07
125,1145.0,23.0,14.3,59.4,44.8,22.0,Chennai,06
77,124.3,25.3,20.4,42.3,24.5,26.3,Chennai,05
139,164.6,29.3,14.5,76.2,50.0,21.9,Chennai,04
251,383.0,28.5,12.6,236.0,131.5,32.5,Chennai,03
186,46.0,31.2,14.4,134.1,82.67,36.3,Chennai,02
168,563.9,15.0,17.3,80.0,69.0,27.0,Chennai,01
103,654.3,21.8,17.8,48.8,36.56,21.6,Chennai,00
139,373.0,58.0,2.8,73.0,50.0,66.5,Chennai,23
88,62.7,30.3,14.5,42.0,29.63,33.6,Chennai,22
139,363.0,60.0,2.8,77.0,50.0,66.5,Chennai,21
85,61.2,23.3,10.6,36.5,28.38,23.9,Chennai,20
100,458.5,40.5,3.1,56.0,35.5,34.5,Chennai,19
91,654.3,25.8,22.9,41.0,30.89,22.6,Chennai,18
93,458.5,40.5,3.0,50.5,32.0,35.0,Chennai,17
93,131.4,32.2,16.0,43.9,32.0,26.9,Chennai,16
100,448.5,39.5,3.1,54.0,35.0,35.0,Chennai,15
94,153.3,30.6,9.7,44.9,32.25,26.7,Chennai,14
90,302.3,26.3,12.6,48.3,30.67,33.7,Chennai,13
86,572.5,17.0,18.4,38.2,28.67,20.6,Chennai,12
91,434.0,48.0,5.9,46.3,31.0,46.7,Chennai,11
88,177.4,28.4,14.8,41.6,29.78,30.2,Chennai,10
77,569.5,54.5,6.1,51.5,24.5,42.5,Chennai,09
95,167.3,24.9,15.9,47.1,33.0,25.9,Chennai,08
91,584.5,54.0,5.7,56.0,31.0,42.5,Chennai,07
97,817.9,17.7,18.2,45.1,33.78,23.0,Chennai,06
92,650.0,59.5,5.6,54.5,31.5,43.0,Chennai,05
85,248.3,28.7,11.9,39.8,28.33,23.3,Chennai,04
183,383.0,77.0,2.8,134.0,80.5,152.0,Chennai,03
118,57.1,37.0,18.8,59.6,42.0,23.8,Chennai,02
163,373.0,90.5,2.9,101.5,65.5,28.5,Chennai,01
89,981.4,22.3,15.8,40.1,30.13,24.8,Chennai,00
126,373.0,96.5,2.8,76.0,45.0,27.5,Chennai,23
97,305.9,34.8,12.0,44.0,33.67,24.0,Chennai,22
92,363.0,34.0,10.2,46.5,31.5,40.0,Chennai,21
91,61.5,29.7,13.4,42.7,30.78,27.0,Chennai,20
86,363.0,23.0,10.8,46.5,28.5,39.0,Chennai,19
91,981.4,29.3,17.3,41.3,31.0,22.9,Chennai,18
103,403.5,81.0,4.6,49.0,36.5,57.0,Chennai,17
103,73.6,27.0,14.1,49.5,36.5,29.6,Chennai,16
102,453.5,39.5,3.0,63.0,36.0,30.5,Chennai,15
99,61.3,27.0,16.6,47.9,34.75,22.9,Chennai,14
87,363.0,39.0,2.8,53.0,29.0,44.0,Chennai,13
109,858.8,18.4,10.0,56.7,38.86,19.7,Chennai,12
308,105.2,7.3,81.2,430.7,122.0,55.0,Delhi,11
59,101.9,5.7,45.3,20.0,16.0,54.0,Delhi,10
212,98.6,4.0,9.5,316.0,212.0,53.0,Delhi,09
207,1051.5,52.7,67.5,131.0,98.3,30.5,Delhi,08
188,1145.0,54.7,43.9,111.3,84.0,42.0,Delhi,07
235,1053.4,54.9,54.5,159.1,119.37,38.6,Delhi,06
245,0.0,31.0,34.8,180.0,127.0,81.0,Delhi,05
240,16.7,71.5,33.5,163.5,123.06,32.2,Delhi,04
238,296.0,154.3,20.4,157.8,121.25,71.0,Delhi,03
248,23.7,99.7,11.5,173.5,129.1,28.7,Delhi,02
193,1048.0,376.0,1.4,107.5,88.0,24.0,Delhi,01
229,1340.5,92.6,11.3,153.3,115.12,23.9,Delhi,00
266,756.0,54.0,1.8,204.0,143.0,5.0,Delhi,23
221,23.4,94.4,19.1,144.8,109.0,27.4,Delhi,22
261,887.0,461.0,9.2,168.0,139.0,26.0,Delhi,21
241,22.0,115.7,18.7,164.4,123.6,31.5,Delhi,20
225,1119.0,507.0,12.2,280.0,225.0,33.0,Delhi,19
262,1409.2,130.7,22.3,185.9,139.6,31.4,Delhi,18
247,321.0,204.0,11.2,165.8,128.4,44.5,Delhi,17
261,29.7,142.4,16.0,184.5,138.75,32.1,Delhi,16
